Title;Price;Link;Id;Year;Km;Location
Mercedes, C class pack AMG C63;CHF 200.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/location-mercedes-class-c-bluetech-pack-amg-c63-200chf--49857432.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49857432;2020;1;1201 Genève (GE)
Audi, A1;CHF 21'000.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/audi-a1--49968570.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49968570;2019;42;1630 Bulle (FR)
Autres, Stock pneu;Prix sur demande;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/stock-pneu-%c3%a0-vendre--49967234.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49967234;2040;1;1006 Lausanne (VD)
Audi, S2;CHF 1.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/recherche-audi-s2--49965869.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49965869;2023;1;1585 Bellerive VD (VD)
BMW, X4 M40i;CHF 600.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/bmw-x4-m40i-a-louer--49964589.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49964589;2018;0;1618 Châtel-St-Denis (FR)
Audi, A1;CHF 28'600.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/audi-a1-sb-10-tfsi-automatique--49914357.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49914357;2023;20;2000 Neuchâtel (NE)
VW, Golf 7r;Prix sur demande;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/golf-7r-location--49917992.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49917992;2015;0;1618 Châtel-St-Denis (FR)
Fiat, 500;CHF 18'900.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/fiat-500-dolcevita-hybrid--49911691.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49911691;2023;20;2000 Neuchâtel (NE)
BMW, Serie 5 G30/G31;CHF 130.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/tapis-caoutchouc-bmw-s%c3%a9rie-5--49903450.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49903450;2023;1;1196 Gland (VD)
Seat, Cupra formentor;CHF 150.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/cupra-formentor--49901509.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49901509;2021;0;2853 Courfaivre (JU)
Porsche, GT3 RS;CHF 200.– / Prix à discuter;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/circuit-bresse-4-tours-en-porsche-gt3rs-24-septembre-2023--49885464.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49885464;2023;0;1870 Monthey (VS)
Mitsubishi, Asx;CHF 27'800.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/mitsubishi-asx-13-mild-hybride--49682599.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49682599;2023;30;1376 Goumoens-la-Ville (VD)
VW, GTI;CHF 38'081.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/volkswagen-golf-gti-20-180kw-automatik--49851926.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49851926;2022;5;6844 Altach
Tesla, Y;Gratuit;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/tesla-rabatt--49812022.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49812022;2023;0;8730 Uznach (SG)
Smart, Location Fortwo Automatique;CHF 250.–;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/location-smart-fortwo-auto--49799335.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49799335;2015;0;1212 Grand-Lancy (GE)
Abarth, Lux;CHF 1'000.– / Prix à discuter;https://anibis.ch/fr/d-automobiles-voitures-de-tourisme--113/voiture-%c3%a9lectrique--49776721.aspx?fcid=113&pi=1&ps=20&ae=1&aral=832_0_50%2c833_2014_&pr=1;49776721;2017;10;1564 Domdidier (FR)
